lineup,slot,name,pos,team,opp,salary,proj_points
1,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
1,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
1,RB,Joe Mixon,RB,HOU,LAR,6200,18.78
1,WR,Chris Godwin,WR,TB,ATL,5600,20.54
1,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
1,WR,Davante Adams,WR,LAR,HOU,6100,17.88
1,TE,George Kittle,TE,SF,SEA,5800,16.57
1,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.13
1,DST,Jacksonville Jaguars,DST,JAX,CAR,1900,4.5
1,TOTAL,,,,,50000,155.33
2,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
2,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.19
2,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
2,WR,Chris Godwin,WR,TB,ATL,5600,20.54
2,WR,Stefon Diggs,WR,NE,LV,5300,15.24
2,WR,Jakobi Meyers,WR,LV,NE,5100,15.13
2,TE,George Kittle,TE,SF,SEA,5800,16.57
2,FLEX,Joe Mixon,RB,HOU,LAR,6200,18.78
2,DST,Denver Broncos,DST,DEN,TEN,1400,3.0
2,TOTAL,,,,,50000,155.29000000000002
3,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
3,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
3,RB,Joe Mixon,RB,HOU,LAR,6200,18.78
3,WR,Chris Godwin,WR,TB,ATL,5600,20.54
3,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
3,WR,Stefon Diggs,WR,NE,LV,5300,15.24
3,TE,George Kittle,TE,SF,SEA,5800,16.57
3,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.13
3,DST,San Francisco 49ers,DST,SF,SEA,2700,6.9
3,TOTAL,,,,,50000,155.09
4,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
4,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
4,RB,Joe Mixon,RB,HOU,LAR,6200,18.78
4,WR,Chris Godwin,WR,TB,ATL,5600,20.54
4,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
4,WR,Davante Adams,WR,LAR,HOU,6100,17.88
4,TE,George Kittle,TE,SF,SEA,5800,16.57
4,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.13
4,DST,Carolina Panthers,DST,CAR,JAX,1800,4.2
4,TOTAL,,,,,49900,155.03
5,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
5,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.19
5,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
5,WR,Chris Godwin,WR,TB,ATL,5600,20.54
5,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
5,WR,Stefon Diggs,WR,NE,LV,5300,15.24
5,TE,George Kittle,TE,SF,SEA,5800,16.57
5,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.13
5,DST,Pittsburgh Steelers,DST,PIT,NYJ,1200,2.4
5,TOTAL,,,,,50000,155.00000000000003
6,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
6,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.19
6,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
6,WR,Chris Godwin,WR,TB,ATL,5600,20.54
6,WR,Stefon Diggs,WR,NE,LV,5300,15.24
6,WR,Jakobi Meyers,WR,LV,NE,5100,15.13
6,TE,George Kittle,TE,SF,SEA,5800,16.57
6,FLEX,Joe Mixon,RB,HOU,LAR,6200,18.78
6,DST,Tennessee Titans,DST,TEN,DEN,1300,2.7
6,TOTAL,,,,,49900,154.99
7,QB,Joe Burrow,QB,CIN,CLE,6900,23.99
7,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
7,RB,Joe Mixon,RB,HOU,LAR,6200,18.78
7,WR,Chris Godwin,WR,TB,ATL,5600,20.54
7,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
7,WR,Davante Adams,WR,LAR,HOU,6100,17.88
7,TE,George Kittle,TE,SF,SEA,5800,16.57
7,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.13
7,DST,New Orleans Saints,DST,NO,ARI,1500,3.3
7,TOTAL,,,,,49900,154.87
8,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
8,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
8,RB,Joe Mixon,RB,HOU,LAR,6200,18.78
8,WR,Chris Godwin,WR,TB,ATL,5600,20.54
8,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
8,WR,Jakobi Meyers,WR,LV,NE,5100,15.13
8,TE,George Kittle,TE,SF,SEA,5800,16.57
8,FLEX,Chuba Hubbard,RB,CAR,JAX,6000,17.11
8,DST,Indianapolis Colts,DST,IND,MIA,2000,4.8
8,TOTAL,,,,,50000,154.86
9,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
9,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
9,RB,Joe Mixon,RB,HOU,LAR,6200,18.78
9,WR,Chris Godwin,WR,TB,ATL,5600,20.54
9,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
9,WR,Davante Adams,WR,LAR,HOU,6100,17.88
9,TE,George Kittle,TE,SF,SEA,5800,16.57
9,FLEX,Stefon Diggs,WR,NE,LV,5300,15.24
9,DST,Green Bay Packers,DST,GB,DET,1700,3.9
9,TOTAL,,,,,50000,154.84
10,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
10,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
10,RB,Joe Mixon,RB,HOU,LAR,6200,18.78
10,WR,Chris Godwin,WR,TB,ATL,5600,20.54
10,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
10,WR,Jakobi Meyers,WR,LV,NE,5100,15.13
10,TE,George Kittle,TE,SF,SEA,5800,16.57
10,FLEX,Kenneth Walker III,RB,SEA,SF,5900,16.74
10,DST,Miami Dolphins,DST,MIA,IND,2100,5.1
10,TOTAL,,,,,50000,154.79
11,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
11,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
11,RB,Joe Mixon,RB,HOU,LAR,6200,18.78
11,WR,Chris Godwin,WR,TB,ATL,5600,20.54
11,WR,Davante Adams,WR,LAR,HOU,6100,17.88
11,WR,Stefon Diggs,WR,NE,LV,5300,15.24
11,TE,George Kittle,TE,SF,SEA,5800,16.57
11,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.13
11,DST,Detroit Lions,DST,DET,GB,3000,7.8
11,TOTAL,,,,,50000,154.78000000000003
12,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
12,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
12,RB,Joe Mixon,RB,HOU,LAR,6200,18.78
12,WR,Chris Godwin,WR,TB,ATL,5600,20.54
12,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
12,WR,Davante Adams,WR,LAR,HOU,6100,17.88
12,TE,George Kittle,TE,SF,SEA,5800,16.57
12,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.13
12,DST,Green Bay Packers,DST,GB,DET,1700,3.9
12,TOTAL,,,,,49800,154.73000000000002
13,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
13,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.19
13,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
13,WR,Chris Godwin,WR,TB,ATL,5600,20.54
13,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
13,WR,Stefon Diggs,WR,NE,LV,5300,15.24
13,TE,George Kittle,TE,SF,SEA,5800,16.57
13,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.13
13,DST,New York Jets,DST,NYJ,PIT,1100,2.1
13,TOTAL,,,,,49900,154.70000000000002
14,QB,Joe Burrow,QB,CIN,CLE,6900,23.99
14,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
14,RB,Joe Mixon,RB,HOU,LAR,6200,18.78
14,WR,Chris Godwin,WR,TB,ATL,5600,20.54
14,WR,Tee Higgins,WR,CIN,CLE,6400,19.09
14,WR,Jakobi Meyers,WR,LV,NE,5100,15.13
14,TE,George Kittle,TE,SF,SEA,5800,16.57
14,FLEX,Chuba Hubbard,RB,CAR,JAX,6000,17.11
14,DST,Green Bay Packers,DST,GB,DET,1700,3.9
14,TOTAL,,,,,50000,154.70000000000002
15,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
15,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.19
15,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
15,WR,Chris Godwin,WR,TB,ATL,5600,20.54
15,WR,Davante Adams,WR,LAR,HOU,6100,17.88
15,WR,Stefon Diggs,WR,NE,LV,5300,15.24
15,TE,George Kittle,TE,SF,SEA,5800,16.57
15,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.13
15,DST,New Orleans Saints,DST,NO,ARI,1500,3.3
15,TOTAL,,,,,50000,154.69
16,QB,Baker Mayfield,QB,TB,ATL,6600,23.25
16,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.19
16,RB,Alvin Kamara,RB,NO,ARI,6300,19.59
16,WR,Chris Godwin,WR,TB,ATL,5600,20.54
16,WR,Stefon Diggs,WR,NE,LV,5300,15.24
16,WR,Jakobi Meyers,WR,LV,NE,5100,15.13
16,TE,George Kittle,TE,SF,SEA,5800,16.57
16,FLEX,Joe Mixon,RB,HOU,LAR,6200,18.78
16,DST,Pittsburgh Steelers,DST,PIT,NYJ,1200,2.4
16,TOTAL,,,,,49800,154.69000000000003
17,QB,Joe Burrow,QB,CIN,CLE,6900,23.99
