Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Ja'Marr Chase (39506085),Ja'Marr Chase,39506085,WR/FLEX,8100,CIN@CLE 09/07/2025 01:00PM ET,CIN,24.59
RB,Bijan Robinson (39505777),Bijan Robinson,39505777,RB/FLEX,8000,TB@ATL 09/07/2025 01:00PM ET,ATL,20.98
RB,Jahmyr Gibbs (39505779),Jahmyr Gibbs,39505779,RB/FLEX,7700,DET@GB 09/07/2025 04:25PM ET,DET,23.19
WR,Puka Nacua (39506087),Puka Nacua,39506087,WR/FLEX,7600,HOU@LAR 09/07/2025 04:25PM ET,LAR,19.03
WR,Nico Collins (39506089),Nico Collins,39506089,WR/FLEX,7400,HOU@LAR 09/07/2025 04:25PM ET,HOU,18.85
RB,Christian McCaffrey (39505781),Christian McCaffrey,39505781,RB/FLEX,7300,SF@SEA 09/07/2025 04:05PM ET,SF,12.2
RB,Bucky Irving (39505783),Bucky Irving,39505783,RB/FLEX,7100,TB@ATL 09/07/2025 01:00PM ET,TB,15.04
WR,Amon-Ra St. Brown (39506091),Amon-Ra St. Brown,39506091,WR/FLEX,7100,DET@GB 09/07/2025 04:25PM ET,DET,19.66
RB,Ashton Jeanty (39505785),Ashton Jeanty,39505785,RB/FLEX,7000,LV@NE 09/07/2025 01:00PM ET,LV,0
QB,Jayden Daniels (39505688),Jayden Daniels,39505688,QB,7000,NYG@WAS 09/07/2025 01:00PM ET,WAS,22.21
WR,Malik Nabers (39506093),Malik Nabers,39506093,WR/FLEX,7000,NYG@WAS 09/07/2025 01:00PM ET,NYG,18.84
RB,De'Von Achane (39505787),De'Von Achane,39505787,RB/FLEX,6900,MIA@IND 09/07/2025 01:00PM ET,MIA,17.99
QB,Joe Burrow (39505689),Joe Burrow,39505689,QB,6900,CIN@CLE 09/07/2025 01:00PM ET,CIN,23.99
RB,Jonathan Taylor (39505789),Jonathan Taylor,39505789,RB/FLEX,6800,MIA@IND 09/07/2025 01:00PM ET,IND,19.26
WR,Brian Thomas Jr. (39506095),Brian Thomas Jr.,39506095,WR/FLEX,6800,CAR@JAX 09/07/2025 01:00PM ET,JAX,17.41
WR,Tyreek Hill (39506097),Tyreek Hill,39506097,WR/FLEX,6700,MIA@IND 09/07/2025 01:00PM ET,MIA,13.36
RB,Josh Jacobs (39505791),Josh Jacobs,39505791,RB/FLEX,6700,DET@GB 09/07/2025 04:25PM ET,GB,18.12
QB,Baker Mayfield (39505690),Baker Mayfield,39505690,QB,6600,TB@ATL 09/07/2025 01:00PM ET,TB,23.25
WR,Mike Evans (39506099),Mike Evans,39506099,WR/FLEX,6600,TB@ATL 09/07/2025 01:00PM ET,TB,17.91
RB,Chase Brown (39505793),Chase Brown,39505793,RB/FLEX,6600,CIN@CLE 09/07/2025 01:00PM ET,CIN,16.19
TE,Brock Bowers (39506677),Brock Bowers,39506677,TE/FLEX,6500,LV@NE 09/07/2025 01:00PM ET,LV,15.81
WR,Drake London (39506101),Drake London,39506101,WR/FLEX,6500,TB@ATL 09/07/2025 01:00PM ET,ATL,17.05
QB,Jared Goff (39505691),Jared Goff,39505691,QB,6500,DET@GB 09/07/2025 04:25PM ET,DET,20.59
RB,Kyren Williams (39505795),Kyren Williams,39505795,RB/FLEX,6500,HOU@LAR 09/07/2025 04:25PM ET,LAR,17.71
RB,Breece Hall (39505797),Breece Hall,39505797,RB/FLEX,6400,PIT@NYJ 09/07/2025 01:00PM ET,NYJ,15.56
QB,Kyler Murray (39505692),Kyler Murray,39505692,QB,6400,ARI@NO 09/07/2025 01:00PM ET,ARI,18.72
WR,Tee Higgins (39506103),Tee Higgins,39506103,WR/FLEX,6400,CIN@CLE 09/07/2025 01:00PM ET,CIN,19.09
