lineup,slot,name,pos,team,opp,salary,proj_points
1,QB,Sam Darnold,QB,SEA,SF,5300,20.104071118840846
1,RB,Alvin Kamara,RB,NO,ARI,6300,20.448533396577993
1,RB,Joe Mixon,RB,HOU,LAR,6200,19.603035078495903
1,WR,Ja'Marr Chase,WR,CIN,CLE,8100,25.667658816837818
1,WR,Chris Godwin,WR,TB,ATL,5600,21.44016722642736
1,WR,Jakobi Meyers,WR,LV,NE,5100,15.79307352170623
1,TE,George Kittle,TE,SF,SEA,5800,17.29618164274106
1,FLEX,Cooper Kupp,WR,SEA,SF,5300,14.832754444378423
1,DST,New York Giants,DST,NYG,WAS,2300,5.949802979096201
1,TOTAL,,,,,50000,161.13527822510184
2,QB,Sam Darnold,QB,SEA,SF,5300,20.104071118840846
2,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.20630369916507
2,RB,Alvin Kamara,RB,NO,ARI,6300,20.448533396577993
2,WR,Chris Godwin,WR,TB,ATL,5600,21.44016722642736
2,WR,Tee Higgins,WR,CIN,CLE,6400,19.92662085455201
2,WR,Cooper Kupp,WR,SEA,SF,5300,14.832754444378423
2,TE,George Kittle,TE,SF,SEA,5800,17.29618164274106
2,FLEX,Joe Mixon,RB,HOU,LAR,6200,19.603035078495903
2,DST,Denver Broncos,DST,DEN,TEN,1400,3.131475252155895
2,TOTAL,,,,,50000,160.98914271333456
3,QB,Joe Burrow,QB,CIN,CLE,6900,25.041363766406636
3,RB,Alvin Kamara,RB,NO,ARI,6300,20.448533396577993
3,RB,Joe Mixon,RB,HOU,LAR,6200,19.603035078495903
3,WR,Chris Godwin,WR,TB,ATL,5600,21.44016722642736
3,WR,Tee Higgins,WR,CIN,CLE,6400,19.92662085455201
3,WR,Jakobi Meyers,WR,LV,NE,5100,15.79307352170623
3,TE,George Kittle,TE,SF,SEA,5800,17.29618164274106
3,FLEX,Jerry Jeudy,WR,CLE,CIN,5400,15.344228735563885
3,DST,New York Giants,DST,NYG,WAS,2300,5.949802979096201
3,TOTAL,,,,,50000,160.84300720156727
4,QB,Sam Darnold,QB,SEA,SF,5300,20.104071118840846
4,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.20630369916507
4,RB,Alvin Kamara,RB,NO,ARI,6300,20.448533396577993
4,WR,Chris Godwin,WR,TB,ATL,5600,21.44016722642736
4,WR,Tee Higgins,WR,CIN,CLE,6400,19.92662085455201
4,WR,Jakobi Meyers,WR,LV,NE,5100,15.79307352170623
4,TE,George Kittle,TE,SF,SEA,5800,17.29618164274106
4,FLEX,Cooper Kupp,WR,SEA,SF,5300,14.832754444378423
4,DST,Las Vegas Raiders,DST,LV,NE,2500,6.576098029527379
4,TOTAL,,,,,50000,160.62380393391635
5,QB,Sam Darnold,QB,SEA,SF,5300,20.104071118840846
5,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.20630369916507
5,RB,Alvin Kamara,RB,NO,ARI,6300,20.448533396577993
5,WR,Chris Godwin,WR,TB,ATL,5600,21.44016722642736
5,WR,Jaxon Smith-Njigba,WR,SEA,SF,5800,16.08534454524078
5,WR,Jakobi Meyers,WR,LV,NE,5100,15.79307352170623
5,TE,George Kittle,TE,SF,SEA,5800,17.29618164274106
5,FLEX,Joe Mixon,RB,HOU,LAR,6200,19.603035078495903
5,DST,Washington Commanders,DST,WAS,NYG,2200,5.6366554538806115
5,TOTAL,,,,,50000,160.61336568307587
