lineup,slot,name,pos,team,opp,salary,proj_points
1,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
1,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
1,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
1,WR,Ja'Marr Chase,WR,CIN,CLE,8100,25.78938063895261
1,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
1,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
1,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
1,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
1,DST,Pittsburgh Steelers,DST,PIT,NYJ,1200,2.51706033076398
1,TOTAL,,,,,50000,163.55648274276777
2,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
2,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.321095446006957
2,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
2,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
2,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
2,WR,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
2,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
2,FLEX,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
2,DST,Arizona Cardinals,DST,ARI,NO,1600,3.77559049614597
2,TOTAL,,,,,50000,163.3467277152041
3,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
3,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
3,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
3,WR,Ja'Marr Chase,WR,CIN,CLE,8100,25.78938063895261
3,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
3,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
3,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
3,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
3,DST,New Orleans Saints,DST,NO,ARI,1500,3.460957954800472
3,TOTAL,,,,,50000,163.2313624500441
4,QB,Baker Mayfield,QB,TB,ATL,6600,24.384021954276054
4,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
4,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
4,WR,Ja'Marr Chase,WR,CIN,CLE,8100,25.78938063895261
4,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
4,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
4,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
4,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
4,DST,Cleveland Browns,DST,CLE,CIN,1000,1.887795248072985
4,TOTAL,,,,,50000,163.07404617937135
5,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
5,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
5,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
5,WR,Ja'Marr Chase,WR,CIN,CLE,8100,25.78938063895261
5,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
5,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
5,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
5,FLEX,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
5,DST,Cleveland Browns,DST,CLE,CIN,1000,1.887795248072985
5,TOTAL,,,,,50000,163.04258292523681
6,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
6,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.321095446006957
6,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
6,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
6,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
6,WR,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
6,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
6,FLEX,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
6,DST,Jacksonville Jaguars,DST,JAX,CAR,1900,4.719488120182462
6,TOTAL,,,,,50000,163.02160742248043
7,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
7,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
7,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
7,WR,Ja'Marr Chase,WR,CIN,CLE,8100,25.78938063895261
7,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
7,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
7,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
7,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
7,DST,New York Giants,DST,NYG,WAS,2300,5.978018285564453
7,TOTAL,,,,,50000,162.97965641696769
8,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
8,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
8,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
8,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
8,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
8,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
8,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
8,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
8,DST,Cincinnati Bengals,DST,CIN,CLE,3200,8.914588671455762
8,TOTAL,,,,,50000,162.91672990869858
9,QB,Baker Mayfield,QB,TB,ATL,6600,24.384021954276054
9,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
9,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
9,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
9,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
9,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
9,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
9,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
9,DST,Jacksonville Jaguars,DST,JAX,CAR,1900,4.719488120182462
9,TOTAL,,,,,50000,162.90624215732043
10,QB,Baker Mayfield,QB,TB,ATL,6600,24.384021954276054
10,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.321095446006957
10,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
10,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
10,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
10,WR,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
10,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
10,FLEX,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
10,DST,Denver Broncos,DST,DEN,TEN,1400,3.146325413454975
10,TOTAL,,,,,50000,162.8642911518077
11,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
11,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.321095446006957
11,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
11,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
11,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
11,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
11,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
11,FLEX,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
11,DST,Denver Broncos,DST,DEN,TEN,1400,3.146325413454975
11,TOTAL,,,,,50000,162.83282789767313
12,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
12,RB,Jahmyr Gibbs,RB,DET,GB,7700,24.321095446006957
12,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
12,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
12,WR,Stefon Diggs,WR,NE,LV,5300,15.983333100351272
12,WR,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
12,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
12,FLEX,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
12,DST,San Francisco 49ers,DST,SF,SEA,2700,7.236548450946443
12,TOTAL,,,,,50000,162.76990138940403
13,QB,Joe Burrow,QB,CIN,CLE,6900,25.160115556261616
13,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
13,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
13,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
13,WR,Tee Higgins,WR,CIN,CLE,6400,20.021117380951825
13,WR,Davante Adams,WR,LAR,HOU,6100,18.752099464191648
13,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
13,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
13,DST,Arizona Cardinals,DST,ARI,NO,1600,3.77559049614597
13,TOTAL,,,,,50000,162.73843813526952
14,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
14,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
14,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
14,WR,Ja'Marr Chase,WR,CIN,CLE,8100,25.78938063895261
14,WR,Chris Godwin,WR,TB,ATL,5600,21.541841330788394
14,WR,Jakobi Meyers,WR,LV,NE,5100,15.867967835191259
14,TE,George Kittle,TE,SF,SEA,5800,17.378204033649645
14,FLEX,Chuba Hubbard,RB,CAR,JAX,6000,17.94454260807154
14,DST,Arizona Cardinals,DST,ARI,NO,1600,3.77559049614597
14,TOTAL,,,,,50000,162.73843813526952
15,QB,Sam Darnold,QB,SEA,SF,5300,20.19940915438094
15,RB,Alvin Kamara,RB,NO,ARI,6300,20.545504949860987
15,RB,Joe Mixon,RB,HOU,LAR,6200,19.695997088228143
