lineup,slot,name,pos,team,opp,salary,proj_points
1,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
1,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
1,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
1,WR,Ja'Marr Chase,WR,CIN,CLE,8100,24.557757641722667
1,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
1,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
1,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
1,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
1,DST,Pittsburgh Steelers,DST,PIT,NYJ,1200,2.3968531248529645
1,TOTAL,,,,,50000,155.74551867534157
2,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
2,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
2,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
2,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
2,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
2,WR,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
2,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
2,FLEX,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
2,DST,Arizona Cardinals,DST,ARI,NO,1600,3.595279687279447
2,TOTAL,,,,,50000,155.54578091493718
3,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
3,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
3,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
3,WR,Ja'Marr Chase,WR,CIN,CLE,8100,24.557757641722667
3,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
3,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
3,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
3,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
3,DST,New Orleans Saints,DST,NO,ARI,1500,3.295673046672826
3,TOTAL,,,,,50000,155.43592514671474
4,QB,Baker Mayfield,QB,TB,ATL,6600,23.219514647013092
4,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
4,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
4,WR,Ja'Marr Chase,WR,CIN,CLE,8100,24.557757641722667
4,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
4,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
4,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
4,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
4,DST,Cleveland Browns,DST,CLE,CIN,1000,1.7976398436397234
4,TOTAL,,,,,50000,155.28612182641143
5,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
5,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
5,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
5,WR,Ja'Marr Chase,WR,CIN,CLE,8100,24.557757641722667
5,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
5,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
5,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
5,FLEX,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
5,DST,Cleveland Browns,DST,CLE,CIN,1000,1.7976398436397234
5,TOTAL,,,,,50000,155.2561611623508
6,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
6,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
6,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
6,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
6,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
6,WR,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
6,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
6,FLEX,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
6,DST,Jacksonville Jaguars,DST,JAX,CAR,1900,4.494099609099308
6,TOTAL,,,,,50000,155.23618738631035
7,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
7,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
7,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
7,WR,Ja'Marr Chase,WR,CIN,CLE,8100,24.557757641722667
7,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
7,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
7,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
7,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
7,DST,New York Giants,DST,NYG,WAS,2300,5.692526171525791
7,TOTAL,,,,,50000,155.19623983422946
8,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
8,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
8,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
8,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
8,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
8,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
8,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
8,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
8,DST,Cincinnati Bengals,DST,CIN,CLE,3200,8.488854817187583
8,TOTAL,,,,,50000,155.13631850610813
9,QB,Baker Mayfield,QB,TB,ATL,6600,23.219514647013092
9,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
9,RB,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
9,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
9,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
9,WR,Davante Adams,WR,LAR,HOU,6100,17.856555780154586
9,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
9,FLEX,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
9,DST,Jacksonville Jaguars,DST,JAX,CAR,1900,4.494099609099308
9,TOTAL,,,,,50000,155.12633161808787
10,QB,Baker Mayfield,QB,TB,ATL,6600,23.219514647013092
10,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
10,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
10,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
10,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
10,WR,Jakobi Meyers,WR,LV,NE,5100,15.110161574593898
10,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
10,FLEX,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
10,DST,Denver Broncos,DST,DEN,TEN,1400,2.9960664060662054
10,TOTAL,,,,,50000,155.086384066007
11,QB,Sam Darnold,QB,SEA,SF,5300,19.234746326945043
11,RB,Jahmyr Gibbs,RB,DET,GB,7700,23.159593318891773
11,RB,Alvin Kamara,RB,NO,ARI,6300,19.564313631612322
11,WR,Chris Godwin,WR,TB,ATL,5600,20.513067993533287
11,WR,Tee Higgins,WR,CIN,CLE,6400,19.06496923060129
11,WR,Stefon Diggs,WR,NE,LV,5300,15.220017342816325
11,TE,George Kittle,TE,SF,SEA,5800,16.548273449505675
11,FLEX,Joe Mixon,RB,HOU,LAR,6200,18.755375701974447
11,DST,Denver Broncos,DST,DEN,TEN,1400,2.9960664060662054
11,TOTAL,,,,,50000,155.05642340194638
