name,dk_name,pos,team,opp,salary,proj_points,match_how,value
A Rodgers,Aaron Rodgers,QB,PIT,UNK,5200,16.551266765594484,initial+last,3.1829359164604774
J Flacco,Joe Flacco,QB,CLE,UNK,4900,14.004666469842196,initial+last,2.8580951979269784
J Johnson,Josh Johnson,QB,WAS,UNK,4000,5.66946674776574,initial+last,1.417366686941435
M Stafford,Matthew Stafford,QB,LAR,UNK,5900,19.59933344205221,initial+last,3.32192092238173
A Dalton,Andy Dalton,QB,CAR,UNK,4700,14.693866576949755,last+team,3.126354590840373
R Wilson,Russell Wilson,QB,NYG,UNK,5000,16.497666695912677,initial+last,3.2995333391825357
K Cousins,Kirk Cousins,QB,ATL,UNK,4600,11.285666670004527,last+team,2.4534057978270716
G Smith,Geno Smith,QB,LV,UNK,5200,13.211733305984072,initial+last,2.5407179434584752
J Winston,Jameis Winston,QB,NYG,UNK,4500,15.903533001740774,initial+last,3.5341184448312832
M Mariota,Marcus Mariota,QB,WAS,UNK,4500,7.804000109533469,last+team,1.734222246562993
B Allen,Brandon Allen,QB,TEN,UNK,4000,8.376399852583805,initial+last,2.0940999631459514
J Goff,Jared Goff,QB,DET,UNK,6500,11.602533496220907,last+team,1.785005153264755
J Brissett,Jacoby Brissett,QB,ARI,UNK,4400,13.430266696959734,initial+last,3.052333340218121
N Mullens,Nick Mullens,QB,JAX,UNK,4300,0.6363333221028249,initial+last,0.14798449351228488
D Watson,Deshaun Watson,QB,CLE,UNK,4000,9.268133330295484,last+team,2.317033332573871
T Boyle,Tim Boyle,QB,TEN,UNK,4000,14.287466990252335,initial+last,3.571866747563084
M Rudolph,Mason Rudolph,QB,PIT,UNK,4200,10.648066673874856,initial+last,2.5352539699702037
B Mayfield,Baker Mayfield,QB,TB,UNK,6600,30.79793335835139,last+team,4.666353539144151
S Darnold,Sam Darnold,QB,SEA,UNK,5300,17.32786671936512,initial+last,3.269408814974551
K Murray,Kyler Murray,QB,ARI,UNK,6400,21.774866550564766,last+team,3.4023228985257448
D Lock,Drew Lock,QB,SEA,UNK,4300,17.815599873860677,initial+last,4.143162761362948
D Jones,Daniel Jones,QB,IND,UNK,5100,16.043066596190133,initial+last,3.1456993325863007
T Tagovailoa,Tua Tagovailoa,QB,MIA,UNK,5800,11.514066679577033,last+team,1.9851839102719022
J Love,Jordan Love,QB,GB,UNK,6100,12.117866796553136,last+team,1.986535540418547
J Burrow,Joe Burrow,QB,CIN,UNK,6900,18.003333156903583,last+team,2.6091787183918234
D Mills,Davis Mills,QB,HOU,UNK,4500,3.871733318318924,last+team,0.8603851818486498
J Fields,Justin Fields,QB,NYJ,UNK,5400,0.2055777800414297,initial+last,0.03806995926693142
T Lawrence,Trevor Lawrence,QB,JAX,UNK,5300,16.97486650943756,last+team,3.202805001780672
M Jones,Mac Jones,QB,SF,UNK,4200,9.01193335533142,initial+last,2.1456984179360523
B Purdy,Brock Purdy,QB,SF,UNK,6200,15.044799815018973,last+team,2.4265806153256406
K Pickett,Kenny Pickett,QB,CLE,UNK,4900,2.067133338799079,initial+last,0.4218639466936896
D Ridder,Desmond Ridder,QB,CIN,UNK,4000,8.862199858501553,initial+last,2.2155499646253882
M Willis,Malik Willis,QB,GB,UNK,4600,7.935333360458414,last+team,1.7250724696648727
H Hooker,Hendon Hooker,QB,DET,UNK,4500,1.1342500014665224,last+team,0.25205555588144946
A O'Connell,Aidan O'Connell,QB,LV,UNK,4200,16.989066687126954,last+team,4.04501587788737
C Tune,Clayton Tune,QB,ARI,UNK,4000,0.4079333289464315,last+team,0.10198333223660787
J Haener,Jake Haener,QB,NO,UNK,4800,8.34506665011247,last+team,1.7385555521067646
B Young,Bryce Young,QB,CAR,UNK,5700,15.725199938615162,last+team,2.75880700677459
W Levis,Will Levis,QB,TEN,UNK,4000,9.615599955022336,last+team,2.403899988755584
C Stroud,C.J. Stroud,QB,HOU,UNK,6000,14.18180005359153,last+team,2.363633342265255
S Rattler,Spencer Rattler,QB,NO,UNK,4800,13.31719992051522,last+team,2.7744166501073377
B Nix,Bo Nix,QB,DEN,UNK,6300,22.57280022521814,last+team,3.582984162733038
D Maye,Drake Maye,QB,NE,UNK,5500,16.488733415553966,last+team,2.997951530100721
J Daniels,Jayden Daniels,QB,WAS,UNK,7000,16.966466932296754,last+team,2.423780990328108
C Patterson,Cordarrelle Patterson,RB,PIT,UNK,4100,2.541000022937854,last+team,0.6197561031555743
R Mostert,Raheem Mostert,RB,LV,UNK,5000,4.282611184674832,initial+last,0.8565222369349664
C McCaffrey,Christian McCaffrey,RB,SF,UNK,7300,17.87746631761392,last+team,2.4489679887142355
S Perine,Samaje Perine,RB,CIN,UNK,4100,1.6091555632899206,initial+last,0.39247696665607823
J Conner,James Conner,RB,ARI,UNK,6100,18.261333196957903,last+team,2.993661179829165
A Ekeler,Austin Ekeler,RB,WAS,UNK,4800,7.777000139156978,last+team,1.6202083623243704
