dk_name,suggested_nfl_name,similarity,dk_id,action
Bucky Irving,B.Irving,0.7368421052631579,39505783,review_manually
Amon-Ra St. Brown,A.St. Brown,0.75,39506091,review_manually
Jayden Daniels,J.Daniels,0.7272727272727273,39505688,review_manually
Malik Nabers,M.Nabers,0.7368421052631579,39506093,review_manually
Malik Nabers,M.Sanders,0.6,39506093,review_manually
De'Von Achane,D.Achane,0.7368421052631579,39505787,review_manually
Jonathan Taylor,T.Taylor,0.6363636363636364,39505789,review_manually
Jonathan Taylor,J.Taylor,0.6363636363636364,39505789,review_manually
Brian Thomas Jr.,I.Thomas,0.7368421052631579,39506095,review_manually
Brian Thomas Jr.,B.Thomas,0.7368421052631579,39506095,review_manually
Brian Thomas Jr.,T.Thomas,0.631578947368421,39506095,review_manually
Josh Jacobs,J.Jacobs,0.7777777777777778,39505791,review_manually
Baker Mayfield,B.Mayfield,0.782608695652174,39505690,review_manually
Mike Evans,M.Evans,0.75,39506099,review_manually
Mike Evans,D.Evans,0.625,39506099,review_manually
Mike Evans,B.Means,0.625,39506099,review_manually
Brock Bowers,B.Bowers,0.7368421052631579,39506677,review_manually
Drake London,D.London,0.7368421052631579,39506101,review_manually
Jared Goff,J.Goff,0.6666666666666666,39505691,review_manually
Kyren Williams,K.Williams,0.782608695652174,39505795,review_manually
Kyren Williams,M.Williams,0.6956521739130435,39505795,review_manually
Kyren Williams,J.Williams,0.6956521739130435,39505795,review_manually
Breece Hall,B.Hall,0.625,39505797,review_manually
Kyler Murray,K.Murray,0.7368421052631579,39505692,review_manually
Garrett Wilson,R.Wilson,0.6666666666666666,39506105,review_manually
Garrett Wilson,G.Wilson,0.6666666666666666,39506105,review_manually
Garrett Wilson,E.Wilson,0.6666666666666666,39506105,review_manually
Alvin Kamara,A.Kamara,0.7368421052631579,39505799,review_manually
Terry McLaurin,T.McLaurin,0.782608695652174,39506107,review_manually
Brock Purdy,B.Purdy,0.7058823529411765,39505694,review_manually
James Conner,J.Conner,0.7368421052631579,39505803,review_manually
James Conner,T.Conner,0.631578947368421,39505803,review_manually
James Conner,J.Haener,0.631578947368421,39505803,review_manually
Jordan Love,B.Jordan,0.6666666666666666,39505695,review_manually
Jordan Love,J.Love,0.625,39505695,review_manually
Davante Adams,D.Adams,0.631578947368421,39506109,review_manually
Chuba Hubbard,C.Hubbard,0.7619047619047619,39505805,review_manually
Chuba Hubbard,S.Hubbard,0.6666666666666666,39505805,review_manually
Courtland Sutton,C.Sutton,0.6086956521739131,39506111,review_manually
Kenneth Walker III,K.Walker,0.6666666666666666,39505807,review_manually
Matthew Stafford,M.Stafford,0.72,39505697,review_manually
Matthew Stafford,J.Matthews,0.64,39505697,review_manually
Brian Robinson Jr.,A.Robinson,0.782608695652174,39505809,review_manually
Brian Robinson Jr.,B.Robinson,0.782608695652174,39505809,review_manually
Brian Robinson Jr.,D.Martin-Robinson,0.7586206896551724,39505809,review_manually
George Kittle,G.Kittle,0.7,39506681,review_manually
Jaylen Waddle,J.Waddle,0.7,39506117,review_manually
Bryce Young,B.Young,0.7058823529411765,39505699,review_manually
Michael Penix Jr.,M.Penix,0.631578947368421,39505700,review_manually
Chris Godwin,C.Godwin,0.7368421052631579,39506119,review_manually
Chris Godwin,C.Goodwin,0.7,39506119,review_manually
Tyrone Tracy Jr.,T.Tracy,0.6666666666666666,39505817,review_manually
Jerome Ford,J.Ford,0.625,39505819,review_manually
Drake Maye,D.Maye,0.6666666666666666,39505701,review_manually
Drake Maye,B.Tremayne,0.631578947368421,39505701,review_manually
Marvin Harrison Jr.,M.Harrison,0.75,39506121,review_manually
Marvin Harrison Jr.,A.Richardson,0.6923076923076923,39506121,review_manually
Marvin Harrison Jr.,D.Martin-Robinson,0.6666666666666666,39506121,review_manually
Jameson Williams,M.Williams,0.72,39506123,review_manually
Jameson Williams,J.Williams,0.72,39506123,review_manually
Jameson Williams,K.Williams,0.64,39506123,review_manually
Rhamondre Stevenson,R.Stevenson,0.6896551724137931,39505825,review_manually
Justin Fields,J.Fields,0.7,39505702,review_manually
Travis Etienne Jr.,T.Etienne,0.7272727272727273,39505827,review_manually
Jerry Jeudy,J.Jeudy,0.7058823529411765,39506125,review_manually
Jayden Reed,J.Reed,0.625,39506127,review_manually
Stefon Diggs,S.Diggs,0.6666666666666666,39506131,review_manually
