dk_name,nfl_name,match_type,similarity,dk_id,nfl_id
Nico Collins,N.Collins,fuzzy,0.8,39506089,00-0036554
Joe Burrow,J.Burrow,fuzzy,0.8235294117647058,39505689,00-0036442
Chase Brown,A.St. Brown,fuzzy,0.8,39505793,00-0036963
Tee Higgins,T.Higgins,fuzzy,0.8421052631578947,39506103,00-0036410
Bo Nix,B.Nix,fuzzy,0.8,39505693,00-0039732
Trey McBride,T.McBride,fuzzy,0.8,39506679,00-0037744
Joe Mixon,J.Mixon,fuzzy,0.8,39505801,00-0033897
C.J. Stroud,C.Stroud,fuzzy,0.875,39505696,00-0039163
DK Metcalf,D.Metcalf,fuzzy,0.8888888888888888,39506113,00-0035640
Tua Tagovailoa,T.Tagovailoa,fuzzy,0.88,39505698,00-0036212
Jaxon Smith-Njigba,J.Smith-Njigba,fuzzy,0.8275862068965517,39506115,00-0038543
Tony Pollard,T.Pollard,fuzzy,0.8,39505813,00-0035261
David Montgomery,D.Montgomery,fuzzy,0.8148148148148148,39505815,00-0035685
J.K. Dobbins,J.Dobbins,fuzzy,0.8888888888888888,39505821,00-0036158
Sam Darnold,S.Darnold,fuzzy,0.8421052631578947,39505703,00-0034869
Sam LaPorta,S.LaPorta,fuzzy,0.8421052631578947,39506683,00-0039065
Joe Flacco,J.Flacco,fuzzy,0.8235294117647058,39505711,00-0026158
Zach Charbonnet,Z.Charbonnet,fuzzy,0.8461538461538461,39505851,00-0039165
Adam Thielen,A.Thielen,fuzzy,0.8,39506157,00-0030035
Kirk Cousins,K.Cousins,fuzzy,0.8,39505720,00-0029604
Devin Singletary,D.Singletary,fuzzy,0.8148148148148148,39505875,00-0035250
Jake Browning,J.Browning,fuzzy,0.8181818181818182,39505729,00-0035100
Jimmy Garoppolo,J.Garoppolo,fuzzy,0.8,39505730,00-0031345
Kyle Williams,K.Williams,fuzzy,0.8181818181818182,39506183,00-0037840
Cam Akers,C.Akers,fuzzy,0.8,39505901,00-0036414
Nick Mullens,N.Mullens,fuzzy,0.8,39505734,00-0033319
Mac Jones,A.Jones,fuzzy,0.8,39505737,00-0033293
Cam Miller,A.Miller,fuzzy,0.8235294117647058,39505775,00-0034353
Kene Nwangwu,K.Nwangwu,fuzzy,0.8,39506057,00-0036842
D.J. Williams,J.Williams,fuzzy,0.9,39506039,00-0033948
Emari Demercado,E.Demercado,fuzzy,0.8,39506015,00-0038705
Clyde Edwards-Helaire,C.Edwards-Helaire,fuzzy,0.8571428571428571,39506079,00-0036360
Josh Johnson,J.Johnson,fuzzy,0.8,39505760,00-0026300
Chris Rodriguez Jr.,C.Rodriguez,fuzzy,0.8,39506001,00-0038611
Tim Boyle,T.Boyle,fuzzy,0.8,39505753,00-0034177
Kyle Juszczyk,K.Juszczyk,fuzzy,0.8181818181818182,39505965,00-0029892
