lineup,qb,qb_team,has_stack,bring_back
1,Sam Darnold,SEA,False,True
2,Sam Darnold,SEA,False,True
3,Sam Darnold,SEA,False,True
4,Baker Mayfield,TB,True,False
5,Sam Darnold,SEA,False,True
6,Sam Darnold,SEA,False,True
7,Sam Darnold,SEA,False,True
8,Sam Darnold,SEA,False,True
9,Baker Mayfield,TB,True,False
10,Baker Mayfield,TB,True,False
11,Sam Darnold,SEA,False,True
12,Sam Darnold,SEA,False,True
13,Joe Burrow,CIN,True,False
14,Sam Darnold,SEA,False,True
15,Sam Darnold,SEA,False,True
16,Sam Darnold,SEA,False,True
17,Joe Burrow,CIN,False,False
18,Sam Darnold,SEA,False,True
19,Baker Mayfield,TB,True,False
20,Baker Mayfield,TB,True,False
21,Sam Darnold,SEA,False,True
22,Joe Burrow,CIN,True,False
23,Sam Darnold,SEA,False,True
24,Sam Darnold,SEA,False,True
25,Baker Mayfield,TB,True,False
26,Baker Mayfield,TB,True,False
27,Sam Darnold,SEA,False,True
28,Baker Mayfield,TB,True,False
29,Baker Mayfield,TB,True,False
30,Sam Darnold,SEA,False,True
31,Joe Burrow,CIN,True,False
32,Baker Mayfield,TB,True,False
33,Sam Darnold,SEA,False,True
34,Sam Darnold,SEA,False,True
35,Joe Burrow,CIN,True,False
36,Sam Darnold,SEA,False,True
37,Sam Darnold,SEA,False,True
38,Joe Burrow,CIN,True,False
39,Joe Burrow,CIN,False,False
40,Russell Wilson,NYG,False,False
41,Baker Mayfield,TB,True,False
42,Baker Mayfield,TB,True,False
43,Sam Darnold,SEA,False,True
44,Sam Darnold,SEA,False,True
45,Sam Darnold,SEA,False,True
46,Sam Darnold,SEA,False,True
47,Sam Darnold,SEA,False,True
48,Baker Mayfield,TB,True,False
49,Baker Mayfield,TB,True,False
50,Joe Burrow,CIN,False,False
